candidate_id,rank,score,reasoning
CAND_0002466,1,69.23,Strong match based on skills and professional career history alignment.
CAND_0044572,2,69.13,Strong match based on skills and professional career history alignment.
CAND_0019663,3,68.81,Strong match based on skills and professional career history alignment.
CAND_0051582,4,68.63,Strong match based on skills and professional career history alignment.
CAND_0050054,5,68.61,Strong match based on skills and professional career history alignment.
CAND_0054493,6,68.08,Strong match based on skills and professional career history alignment.
CAND_0049641,7,67.77,Strong match based on skills and professional career history alignment.
CAND_0023384,8,67.69,Strong match based on skills and professional career history alignment.
CAND_0016319,9,67.66,Strong match based on skills and professional career history alignment.
CAND_0041700,10,67.63,Strong match based on skills and professional career history alignment.
CAND_0050644,11,67.59,Strong match based on skills and professional career history alignment.
CAND_0058489,12,67.5,Strong match based on skills and professional career history alignment.
CAND_0026347,13,67.5,Strong match based on skills and professional career history alignment.
CAND_0027426,14,67.48,Strong match based on skills and professional career history alignment.
CAND_0059227,15,67.24,Strong match based on skills and professional career history alignment.
CAND_0011674,16,67.22,Strong match based on skills and professional career history alignment.
CAND_0006896,17,67.21,Strong match based on skills and professional career history alignment.
CAND_0021825,18,67.21,Strong match based on skills and professional career history alignment.
CAND_0066409,19,67.17,Strong match based on skills and professional career history alignment.
CAND_0035703,20,67.16,Strong match based on skills and professional career history alignment.
CAND_0027827,21,67.07,Strong match based on skills and professional career history alignment.
CAND_0034481,22,67.03,Strong match based on skills and professional career history alignment.
CAND_0064062,23,66.94,Strong match based on skills and professional career history alignment.
CAND_0054611,24,66.92,Strong match based on skills and professional career history alignment.
CAND_0059791,25,66.85,Strong match based on skills and professional career history alignment.
CAND_0007049,26,66.84,Strong match based on skills and professional career history alignment.
CAND_0022036,27,66.82,Strong match based on skills and professional career history alignment.
CAND_0016007,28,66.6,Strong match based on skills and professional career history alignment.
CAND_0037141,29,66.57,Strong match based on skills and professional career history alignment.
CAND_0042219,30,66.48,Strong match based on skills and professional career history alignment.
CAND_0050188,31,66.47,Strong match based on skills and professional career history alignment.
CAND_0014277,32,66.46,Strong match based on skills and professional career history alignment.
CAND_0049568,33,66.46,Strong match based on skills and professional career history alignment.
CAND_0008001,34,66.43,Strong match based on skills and professional career history alignment.
CAND_0001704,35,66.43,Strong match based on skills and professional career history alignment.
CAND_0049854,36,66.42,Strong match based on skills and professional career history alignment.
CAND_0014313,37,66.41,Strong match based on skills and professional career history alignment.
CAND_0062555,38,66.3,Strong match based on skills and professional career history alignment.
CAND_0066144,39,66.26,Strong match based on skills and professional career history alignment.
CAND_0057876,40,66.26,Strong match based on skills and professional career history alignment.
CAND_0060270,41,66.25,Strong match based on skills and professional career history alignment.
CAND_0004130,42,66.21,Strong match based on skills and professional career history alignment.
CAND_0018664,43,66.19,Strong match based on skills and professional career history alignment.
CAND_0038712,44,66.19,Strong match based on skills and professional career history alignment.
CAND_0009835,45,66.14,Strong match based on skills and professional career history alignment.
CAND_0036307,46,66.12,Strong match based on skills and professional career history alignment.
CAND_0014769,47,66.1,Strong match based on skills and professional career history alignment.
CAND_0030267,48,66.09,Strong match based on skills and professional career history alignment.
CAND_0038546,49,66.03,Strong match based on skills and professional career history alignment.
CAND_0014579,50,66.03,Strong match based on skills and professional career history alignment.
CAND_0041588,51,66.03,Strong match based on skills and professional career history alignment.
CAND_0028179,52,66.01,Strong match based on skills and professional career history alignment.
CAND_0017649,53,65.98,Strong match based on skills and professional career history alignment.
CAND_0045748,54,65.95,Strong match based on skills and professional career history alignment.
CAND_0050179,55,65.94,Strong match based on skills and professional career history alignment.
CAND_0022958,56,65.94,Strong match based on skills and professional career history alignment.
CAND_0038813,57,65.93,Strong match based on skills and professional career history alignment.
CAND_0059222,58,65.92,Strong match based on skills and professional career history alignment.
CAND_0032976,59,65.91,Strong match based on skills and professional career history alignment.
CAND_0027245,60,65.91,Strong match based on skills and professional career history alignment.
CAND_0042647,61,65.9,Strong match based on skills and professional career history alignment.
CAND_0001503,62,65.89,Strong match based on skills and professional career history alignment.
CAND_0021304,63,65.89,Strong match based on skills and professional career history alignment.
CAND_0034944,64,65.87,Strong match based on skills and professional career history alignment.
CAND_0062887,65,65.85,Strong match based on skills and professional career history alignment.
CAND_0065750,66,65.85,Strong match based on skills and professional career history alignment.
CAND_0005649,67,65.83,Strong match based on skills and professional career history alignment.
CAND_0050734,68,65.83,Strong match based on skills and professional career history alignment.
CAND_0038977,69,65.81,Strong match based on skills and professional career history alignment.
CAND_0009802,70,65.79,Strong match based on skills and professional career history alignment.
CAND_0018621,71,65.79,Strong match based on skills and professional career history alignment.
CAND_0008699,72,65.78,Strong match based on skills and professional career history alignment.
CAND_0005049,73,65.76,Strong match based on skills and professional career history alignment.
CAND_0011121,74,65.75,Strong match based on skills and professional career history alignment.
CAND_0059966,75,65.75,Strong match based on skills and professional career history alignment.
CAND_0065252,76,65.74,Strong match based on skills and professional career history alignment.
CAND_0045024,77,65.74,Strong match based on skills and professional career history alignment.
CAND_0042730,78,65.71,Strong match based on skills and professional career history alignment.
CAND_0028884,79,65.7,Strong match based on skills and professional career history alignment.
CAND_0051627,80,65.69,Strong match based on skills and professional career history alignment.
CAND_0060198,81,65.69,Strong match based on skills and professional career history alignment.
CAND_0007169,82,65.69,Strong match based on skills and professional career history alignment.
CAND_0069332,83,65.68,Strong match based on skills and professional career history alignment.
CAND_0006018,84,65.61,Strong match based on skills and professional career history alignment.
CAND_0002630,85,65.6,Strong match based on skills and professional career history alignment.
CAND_0029867,86,65.58,Strong match based on skills and professional career history alignment.
CAND_0020154,87,65.58,Strong match based on skills and professional career history alignment.
CAND_0064478,88,65.57,Strong match based on skills and professional career history alignment.
CAND_0037165,89,65.57,Strong match based on skills and professional career history alignment.
CAND_0012443,90,65.57,Strong match based on skills and professional career history alignment.
CAND_0061115,91,65.57,Strong match based on skills and professional career history alignment.
CAND_0050405,92,65.56,Strong match based on skills and professional career history alignment.
CAND_0024120,93,65.55,Strong match based on skills and professional career history alignment.
CAND_0002253,94,65.55,Strong match based on skills and professional career history alignment.
CAND_0010672,95,65.55,Strong match based on skills and professional career history alignment.
CAND_0065809,96,65.55,Strong match based on skills and professional career history alignment.
CAND_0029023,97,65.53,Strong match based on skills and professional career history alignment.
CAND_0017809,98,65.53,Strong match based on skills and professional career history alignment.
CAND_0010374,99,65.51,Strong match based on skills and professional career history alignment.
CAND_0046122,100,65.5,Strong match based on skills and professional career history alignment.
